frame,face_id,timestamp,confidence,success,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
1,0,0.000,0.03,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,0,0.033,0.62,0,0.00,0.00,0.00,0.00,0.17,0.15,0.00,0.00,0.00,0.00,1.67,0.71,0.05,0.41,0.00,0.44,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3,0,0.067,0.82,1,0.00,0.00,0.00,0.00,0.40,0.48,0.00,0.00,0.00,0.00,3.33,1.46,0.28,0.83,0.00,0.90,0.16,1.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00
4,0,0.100,0.82,1,0.00,0.00,0.00,0.00,0.58,0.71,0.00,0.00,0.00,0.00,5.00,2.27,0.46,1.27,0.00,1.38,0.18,1.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00
5,0,0.133,0.82,1,0.00,0.00,0.00,0.00,0.61,0.71,0.00,0.00,0.00,0.00,5.00,2.37,0.61,1.36,0.00,1.53,0.11,1.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00
6,0,0.167,0.82,1,0.00,0.00,0.00,0.06,0.56,0.49,0.00,0.00,0.00,0.00,5.00,2.48,0.51,1.45,0.00,1.74,0.02,1.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,1.00
7,0,0.200,0.88,1,0.00,0.00,0.00,0.06,0.50,0.35,0.00,0.00,0.00,0.00,5.00,2.53,0.50,1.50,0.00,1.95,0.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,1.00
8,0,0.234,0.82,1,0.00,0.00,0.00,0.06,0.45,0.52,0.00,0.00,0.00,0.00,5.00,2.68,0.61,1.54,0.00,2.05,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00
9,0,0.267,0.88,1,0.00,0.00,0.00,0.00,0.41,0.68,0.00,0.00,0.00,0.00,5.00,2.71,0.65,1.54,0.00,2.19,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00
10,0,0.300,0.88,1,0.00,0.00,0.00,0.00,0.42,0.87,0.00,0.00,0.00,0.00,5.00,2.77,0.64,1.55,0.00,2.27,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00
11,0,0.334,0.82,1,0.00,0.00,0.00,0.00,0.39,0.80,0.00,0.00,0.00,0.00,5.00,2.73,0.52,1.48,0.00,2.27,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00
12,0,0.367,0.82,1,0.00,0.00,0.00,0.00,0.26,0.52,0.00,0.00,0.00,0.00,3.33,1.84,0.35,0.98,0.00,1.47,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00
13,0,0.400,0.62,0,0.00,0.00,0.00,0.00,0.13,0.24,0.00,0.00,0.00,0.00,1.67,0.92,0.18,0.47,0.00,0.70,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00
14,0,0.434,0.62,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00
15,0,0.467,0.62,0,0.00,0.00,0.00,0.00,0.12,0.25,0.00,0.00,0.00,0.00,1.67,0.89,0.00,0.46,0.00,0.56,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00
16,0,0.501,0.88,1,0.00,0.00,0.00,0.00,0.18,0.44,0.00,0.00,0.00,0.00,3.33,1.82,0.06,0.97,0.00,1.19,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00
17,0,0.534,0.88,1,0.00,0.06,0.00,0.00,0.35,0.75,0.00,0.00,0.00,0.00,5.00,2.66,0.16,1.47,0.00,1.91,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00
18,0,0.567,0.88,1,0.00,0.18,0.00,0.00,0.45,0.75,0.00,0.00,0.00,0.00,5.00,2.66,0.24,1.54,0.00,2.02,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00
19,0,0.601,0.88,1,0.00,0.33,0.00,0.00,0.57,0.79,0.00,0.00,0.00,0.00,5.00,2.57,0.25,1.56,0.00,2.06,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00
20,0,0.634,0.88,1,0.00,0.37,0.00,0.00,0.66,0.76,0.00,0.00,0.00,0.00,5.00,2.61,0.25,1.57,0.00,2.01,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00
21,0,0.667,0.88,1,0.00,0.25,0.00,0.00,0.44,0.50,0.00,0.00,0.00,0.00,3.33,1.72,0.17,1.03,0.00,1.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00
22,0,0.701,0.03,0,0.00,0.11,0.00,0.00,0.25,0.27,0.00,0.00,0.00,0.00,1.67,0.88,0.11,0.50,0.00,0.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
23,0,0.734,0.62,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
24,0,0.767,0.73,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
25,0,0.801,0.62,0,0.00,0.05,0.00,0.00,0.22,0.23,0.00,0.00,0.00,0.00,1.67,0.96,0.17,0.48,0.00,0.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
26,0,0.834,0.82,1,0.00,0.09,0.00,0.00,0.47,0.61,0.00,0.00,0.00,0.00,3.33,1.88,0.39,0.94,0.00,1.40,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
27,0,0.868,0.88,1,0.10,0.09,0.00,0.00,0.77,1.33,0.03,0.00,0.29,0.00,3.33,2.00,0.39,0.94,0.00,1.40,0.08,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
28,0,0.901,0.77,1,0.20,0.04,0.00,0.01,0.81,1.66,0.16,0.00,0.47,0.00,1.67,1.15,0.22,0.51,0.05,0.78,0.15,0.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
29,0,0.934,0.82,1,0.35,0.06,0.00,0.07,0.72,1.67,0.29,0.06,0.63,0.01,0.00,0.31,0.00,0.06,0.18,0.02,0.25,0.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
30,0,0.968,0.82,1,0.34,0.12,0.00,0.07,0.64,1.61,0.41,0.18,0.57,0.18,0.00,0.32,0.00,0.06,0.31,0.19,0.17,0.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
31,0,1.001,0.82,1,0.36,0.27,0.00,0.17,0.60,1.46,0.32,0.30,0.64,0.31,0.00,0.31,0.00,0.02,0.39,0.45,0.17,0.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00
32,0,1.034,0.82,1,0.38,0.42,0.00,0.12,0.56,1.35,0.19,0.41,0.72,0.43,0.00,0.35,0.00,0.00,0.35,0.79,0.16,0.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00
33,0,1.068,0.82,1,0.47,0.44,0.00,0.12,0.53,1.05,0.07,0.47,0.69,0.43,0.00,0.28,0.00,0.00,0.35,1.05,0.21,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00
