frame,face_id,timestamp,confidence,success,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
1,0,0.000,0.03,1,0.00,0.00,0.00,0.00,0.78,1.60,0.00,1.83,0.20,0.00,3.17,0.00,0.11,0.00,1.94,0.00,0.20,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00
2,0,0.033,0.88,1,0.00,0.00,0.00,0.00,0.54,1.59,0.00,1.84,0.20,0.13,2.03,0.00,0.04,0.00,1.58,0.00,0.63,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00
3,0,0.067,0.88,1,0.00,0.00,0.00,0.00,0.42,1.61,0.00,1.83,0.25,0.27,1.51,0.00,0.00,0.00,1.32,0.00,0.72,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00
4,0,0.100,0.82,1,0.00,0.00,0.00,0.00,0.48,1.66,0.01,1.75,0.28,0.25,1.99,0.00,0.00,0.00,1.11,0.00,0.64,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00
5,0,0.133,0.82,1,0.00,0.00,0.00,0.00,0.58,1.66,0.01,1.65,0.27,0.14,2.90,0.00,0.00,0.14,0.92,0.00,0.51,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00
6,0,0.167,0.82,1,0.00,0.00,0.00,0.00,0.67,1.46,0.03,1.65,0.23,0.00,3.98,0.00,0.00,0.33,0.83,0.00,0.45,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00
7,0,0.200,0.88,1,0.00,0.00,0.00,0.00,0.47,0.89,0.01,1.13,0.14,0.00,2.94,0.00,0.00,0.33,0.60,0.00,0.23,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00
8,0,0.234,0.03,0,0.00,0.00,0.00,0.00,0.24,0.36,0.01,0.60,0.08,0.00,1.61,0.00,0.00,0.20,0.31,0.00,0.10,0.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00
9,0,0.267,0.12,0,0.00,0.00,0.00,0.00,0.29,0.52,0.00,0.75,0.20,0.00,0.00,0.00,0.00,0.00,0.09,0.07,0.18,0.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00
10,0,0.300,0.82,1,0.00,0.00,0.00,0.00,0.59,1.08,0.03,1.56,0.36,0.00,0.00,0.00,0.00,0.00,0.23,0.17,0.26,0.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11,0,0.334,0.88,1,0.00,0.00,0.00,0.00,0.86,1.71,0.05,2.42,0.50,0.00,0.02,0.00,0.00,0.00,0.36,0.34,0.31,0.00,0.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12,0,0.367,0.82,1,0.00,0.00,0.00,0.00,0.57,1.19,0.05,1.67,0.30,0.00,0.02,0.00,0.00,0.00,0.27,0.27,0.13,0.00,0.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
13,0,0.400,0.57,0,0.02,0.00,0.01,0.00,0.63,1.34,0.04,1.78,0.34,0.00,0.02,0.15,0.00,0.00,0.13,0.29,0.05,0.00,0.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
14,0,0.434,0.88,1,0.02,0.00,0.01,0.00,0.67,1.32,0.04,1.91,0.38,0.00,0.00,0.22,0.00,0.00,0.08,0.22,0.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
15,0,0.467,0.88,1,0.02,0.00,0.01,0.00,0.98,1.90,0.10,2.93,0.58,0.03,0.02,0.25,0.00,0.00,0.15,0.31,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
16,0,0.501,0.88,1,0.00,0.00,0.00,0.00,0.62,1.20,0.07,2.01,0.39,0.03,0.02,0.10,0.00,0.00,0.15,0.18,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
17,0,0.534,0.03,0,0.11,0.02,0.00,0.02,0.60,1.31,0.09,1.91,0.39,0.05,0.02,0.19,0.00,0.00,0.10,0.21,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
18,0,0.567,0.88,1,0.11,0.02,0.02,0.04,0.58,1.46,0.04,1.78,0.36,0.02,0.00,0.36,0.00,0.00,0.09,0.30,0.01,0.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
19,0,0.601,0.88,1,0.22,0.07,0.14,0.04,0.86,2.31,0.10,2.66,0.51,0.04,0.00,0.63,0.00,0.00,0.17,0.60,0.03,1.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20,0,0.634,0.88,1,0.15,0.05,0.18,0.02,0.87,2.41,0.10,2.63,0.50,0.09,0.00,0.72,0.00,0.00,0.24,0.82,0.05,1.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
21,0,0.667,0.88,1,0.16,0.05,0.17,0.00,0.87,2.45,0.11,2.56,0.49,0.13,0.00,0.80,0.00,0.00,0.32,0.98,0.04,1.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
22,0,0.701,0.88,1,0.07,0.02,0.07,0.00,0.92,2.31,0.06,2.57,0.53,0.11,0.00,0.75,0.00,0.00,0.37,0.95,0.02,1.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
23,0,0.734,0.88,1,0.05,0.02,0.02,0.01,0.95,2.05,0.03,2.59,0.55,0.04,0.00,0.71,0.00,0.00,0.34,0.73,0.00,1.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
