frame,face_id,timestamp,confidence,success,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
1,0,0.000,0.03,1,0.00,0.00,0.00,0.00,0.68,0.00,0.00,0.47,0.37,0.00,0.00,0.86,0.00,0.00,1.72,0.21,0.34,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,0.00,1.00
2,0,0.033,0.98,1,0.00,0.00,0.00,0.00,0.78,0.00,0.00,0.27,0.33,0.00,0.00,1.34,0.00,0.00,1.52,0.60,0.12,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,0.00,1.00
3,0,0.067,0.88,1,0.00,0.00,0.00,0.00,0.87,0.05,0.00,0.12,0.30,0.00,0.00,1.71,0.00,0.00,1.44,0.85,0.03,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,0.00,1.00
4,0,0.100,0.88,1,0.00,0.00,0.00,0.00,1.01,0.25,0.05,0.17,0.34,0.00,0.00,1.97,0.00,0.00,1.53,0.97,0.07,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,0.00,1.00
5,0,0.133,0.88,1,0.00,0.00,0.00,0.00,1.15,0.64,0.09,0.29,0.37,0.00,0.00,2.18,0.00,0.00,1.46,1.07,0.07,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,0.00,1.00
6,0,0.167,0.88,1,0.00,0.00,0.00,0.00,1.34,0.98,0.09,0.55,0.43,0.00,0.00,2.32,0.00,0.00,1.39,1.20,0.05,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00
7,0,0.200,0.88,1,0.00,0.00,0.00,0.00,1.49,1.48,0.07,0.71,0.49,0.00,0.00,2.24,0.00,0.00,1.41,1.21,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
8,0,0.234,0.82,1,0.00,0.00,0.00,0.00,1.58,1.69,0.05,0.87,0.61,0.00,0.00,2.04,0.00,0.00,1.54,1.25,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
9,0,0.267,0.98,1,0.00,0.00,0.00,0.00,1.62,1.99,0.05,1.02,0.68,0.00,0.00,1.89,0.00,0.00,1.85,1.17,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
10,0,0.300,0.82,1,0.00,0.00,0.05,0.00,1.52,2.05,0.03,1.06,0.75,0.00,0.00,1.67,0.00,0.00,2.10,1.05,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
11,0,0.334,0.03,0,0.00,0.00,0.05,0.00,1.42,2.15,0.00,0.92,0.81,0.00,0.00,1.37,0.00,0.00,2.25,0.70,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
12,0,0.367,0.88,1,0.00,0.00,0.05,0.00,0.88,1.46,0.00,0.51,0.59,0.00,0.00,0.73,0.00,0.00,1.51,0.34,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
13,0,0.400,0.03,0,0.06,0.00,0.00,0.00,0.76,1.31,0.00,0.36,0.42,0.00,0.00,0.28,0.18,0.00,1.17,0.14,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
14,0,0.434,0.88,1,0.06,0.00,0.00,0.00,0.61,0.97,0.00,0.16,0.17,0.00,0.00,0.05,0.18,0.00,0.69,0.03,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
15,0,0.467,0.88,1,0.06,0.00,0.00,0.00,1.11,1.46,0.00,0.30,0.20,0.00,0.00,0.07,0.24,0.00,0.83,0.03,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
16,0,0.501,0.82,1,0.00,0.00,0.00,0.00,1.17,1.55,0.00,0.33,0.11,0.00,0.00,0.28,0.43,0.00,0.68,0.01,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
17,0,0.534,0.82,1,0.00,0.00,0.00,0.00,1.34,1.98,0.00,0.33,0.05,0.00,0.00,0.34,1.15,0.00,0.67,0.01,0.01,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
18,0,0.567,0.82,1,0.00,0.00,0.00,0.00,1.27,2.15,0.00,0.19,0.01,0.00,0.00,0.59,1.77,0.03,0.54,0.09,0.01,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
19,0,0.601,0.82,1,0.00,0.00,0.00,0.00,1.34,2.10,0.00,0.00,0.00,0.00,0.00,0.39,1.93,0.03,0.27,0.19,0.09,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
20,0,0.634,0.82,1,0.00,0.00,0.12,0.00,1.40,1.81,0.00,0.00,0.00,0.00,0.00,0.28,1.81,0.03,0.04,0.25,0.40,0.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
21,0,0.667,0.82,1,0.00,0.00,0.12,0.00,1.47,1.67,0.00,0.00,0.00,0.00,0.00,0.00,1.68,0.00,0.16,0.51,0.45,0.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
22,0,0.701,0.82,1,0.00,0.00,0.19,0.00,1.49,1.34,0.04,0.00,0.00,0.00,0.00,0.00,1.47,0.00,0.32,0.72,0.62,0.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00
23,0,0.734,0.82,1,0.00,0.00,0.12,0.00,1.43,1.46,0.18,0.00,0.00,0.00,0.51,0.10,1.22,0.00,0.32,0.66,0.33,0.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00
24,0,0.767,0.82,1,0.00,0.00,0.15,0.00,1.38,1.78,0.18,0.00,0.00,0.00,0.51,0.34,1.23,0.00,0.33,0.38,0.38,0.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00
25,0,0.801,0.82,1,0.00,0.00,0.10,0.00,1.38,2.09,0.15,0.00,0.00,0.00,0.51,0.54,1.22,0.00,0.39,0.39,0.14,0.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00
26,0,0.834,0.82,1,0.13,0.00,0.09,0.00,1.34,1.92,0.00,0.00,0.00,0.00,0.73,0.62,0.87,0.06,0.47,0.68,0.10,0.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00
27,0,0.868,0.82,1,0.39,0.00,0.25,0.00,1.31,1.58,0.00,0.00,0.00,0.00,1.59,0.61,0.56,0.13,0.32,0.62,0.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00
28,0,0.901,0.82,1,0.65,0.00,0.48,0.00,1.29,1.42,0.00,0.00,0.00,0.00,2.43,0.58,0.26,0.21,0.14,0.69,0.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00
29,0,0.934,0.82,1,0.70,0.00,0.77,0.00,1.30,1.53,0.00,0.00,0.00,0.00,2.59,0.52,0.26,0.25,0.08,0.68,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
30,0,0.968,0.82,1,0.67,0.00,0.88,0.00,1.25,1.56,0.00,0.00,0.00,0.00,1.90,0.37,0.03,0.17,0.47,1.17,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
31,0,1.001,0.82,1,0.62,0.00,0.99,0.00,1.23,1.59,0.00,0.00,0.00,0.00,1.59,0.20,0.03,0.10,0.66,1.07,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
32,0,1.034,0.82,1,0.79,0.15,1.18,0.11,1.23,1.65,0.00,0.00,0.00,0.00,1.47,0.14,0.03,0.06,0.95,1.27,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
33,0,1.068,0.82,1,0.85,0.29,1.33,0.22,1.32,1.74,0.00,0.00,0.00,0.00,2.20,0.06,0.00,0.06,0.56,1.15,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
