frame,face_id,timestamp,confidence,success,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
1,0,0.000,0.88,1,0.00,0.00,0.00,0.00,0.87,0.02,1.06,0.30,0.38,0.00,0.38,1.52,0.00,0.76,0.00,0.32,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00
2,0,0.033,0.88,1,0.00,0.00,0.00,0.00,0.97,0.08,0.81,0.23,0.59,0.00,0.30,1.22,0.00,0.59,0.00,0.21,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
3,0,0.067,0.88,1,0.00,0.00,0.00,0.00,1.06,0.19,0.55,0.22,0.73,0.00,0.22,0.96,0.01,0.49,0.00,0.21,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4,0,0.100,0.88,1,0.00,0.00,0.00,0.00,1.12,0.12,0.42,0.26,0.83,0.00,0.09,0.83,0.01,0.45,0.00,0.35,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5,0,0.133,0.88,1,0.00,0.00,0.00,0.00,1.11,0.11,0.34,0.34,0.92,0.00,0.08,0.79,0.01,0.43,0.00,0.48,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6,0,0.167,0.88,1,0.00,0.00,0.00,0.00,1.08,0.00,0.32,0.30,0.93,0.00,0.07,0.80,0.00,0.38,0.01,0.49,0.04,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7,0,0.200,0.82,1,0.00,0.00,0.00,0.00,1.05,0.00,0.23,0.24,0.89,0.00,0.10,0.77,0.00,0.33,0.01,0.45,0.08,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8,0,0.234,0.82,1,0.00,0.00,0.00,0.00,1.05,0.00,0.17,0.18,0.87,0.00,0.17,0.74,0.00,0.30,0.03,0.46,0.12,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9,0,0.267,0.82,1,0.00,0.00,0.00,0.00,1.06,0.00,0.14,0.19,0.89,0.00,0.23,0.79,0.00,0.30,0.04,0.54,0.08,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10,0,0.300,0.82,1,0.00,0.00,0.00,0.00,1.08,0.00,0.19,0.15,0.93,0.00,0.25,0.74,0.00,0.25,0.09,0.53,0.11,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11,0,0.334,0.88,1,0.00,0.00,0.00,0.00,1.11,0.00,0.25,0.19,1.00,0.00,0.25,0.69,0.00,0.17,0.19,0.52,0.22,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12,0,0.367,0.88,1,0.00,0.00,0.00,0.00,1.21,0.01,0.26,0.19,1.06,0.00,0.24,0.57,0.00,0.07,0.26,0.68,0.36,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
13,0,0.400,0.88,1,0.00,0.00,0.00,0.00,1.28,0.08,0.22,0.15,1.08,0.00,0.18,0.54,0.00,0.11,0.21,0.86,0.37,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
14,0,0.434,0.88,1,0.00,0.00,0.00,0.00,1.34,0.25,0.22,0.06,1.08,0.00,0.28,0.62,0.00,0.12,0.09,0.86,0.33,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
15,0,0.467,0.88,1,0.00,0.00,0.00,0.00,1.33,0.44,0.16,0.00,1.13,0.21,0.23,0.78,0.00,0.13,0.00,0.75,0.22,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
16,0,0.501,0.88,1,0.00,0.00,0.00,0.00,1.27,0.55,0.14,0.00,1.07,0.53,0.20,0.89,0.00,0.05,0.00,0.55,0.19,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
17,0,0.534,0.88,1,0.10,0.15,0.00,0.00,1.17,0.78,0.19,0.00,0.93,0.63,0.03,0.73,0.00,0.01,0.10,0.59,0.08,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
18,0,0.567,0.88,1,0.27,0.22,0.00,0.00,1.01,0.91,0.19,0.00,0.77,0.47,0.00,0.50,0.00,0.00,0.22,0.71,0.04,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
