frame,face_id,timestamp,confidence,success,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
1,0,0.000,0.88,1,0.83,0.00,0.00,0.00,0.51,1.23,0.01,0.11,0.58,0.86,0.00,0.40,0.00,0.00,0.26,0.44,0.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00
2,0,0.033,0.88,1,0.96,0.10,0.00,0.00,0.47,1.17,0.00,0.33,0.67,1.04,0.00,0.51,0.15,0.00,0.44,0.76,0.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00
3,0,0.067,0.88,1,1.10,0.10,0.00,0.00,0.44,1.34,0.03,0.38,0.72,1.05,0.00,0.57,0.15,0.00,0.45,0.76,0.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
4,0,0.100,0.88,1,1.26,0.03,0.04,0.07,0.54,1.58,0.06,0.32,0.71,0.93,0.00,0.66,0.21,0.00,0.43,0.50,0.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5,0,0.133,0.82,1,1.26,0.00,0.04,0.26,0.68,1.77,0.06,0.35,0.71,0.88,0.00,0.63,0.15,0.00,0.36,0.23,0.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6,0,0.167,0.82,1,1.16,0.00,0.04,0.28,0.75,2.01,0.03,0.41,0.72,0.88,0.00,0.66,0.15,0.00,0.26,0.08,0.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
7,0,0.200,0.82,1,1.03,0.00,0.00,0.22,0.73,2.02,0.00,0.47,0.76,0.83,0.00,0.73,0.11,0.06,0.07,0.05,0.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
8,0,0.234,0.82,1,0.81,0.00,0.00,0.06,0.68,2.03,0.00,0.47,0.78,0.87,0.00,0.85,0.11,0.13,0.00,0.05,0.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
9,0,0.267,0.88,1,0.76,0.01,0.00,0.05,0.65,1.69,0.00,0.51,0.76,0.80,0.00,0.85,0.12,0.19,0.00,0.05,0.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
10,0,0.300,0.88,1,0.71,0.04,0.00,0.21,0.56,1.33,0.00,0.43,0.69,0.84,0.00,0.77,0.08,0.16,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
11,0,0.334,0.82,1,0.71,0.04,0.00,0.16,0.38,1.01,0.00,0.31,0.59,0.78,0.00,0.67,0.01,0.12,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
12,0,0.367,0.88,1,0.57,0.03,0.00,0.16,0.27,1.02,0.00,0.15,0.47,0.90,0.00,0.68,0.02,0.16,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
13,0,0.400,0.88,1,0.43,0.00,0.00,0.00,0.15,1.20,0.00,0.19,0.36,0.89,0.00,0.60,0.02,0.19,0.00,0.03,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
14,0,0.434,0.88,1,0.43,0.00,0.00,0.00,0.17,1.47,0.00,0.25,0.30,1.02,0.00,0.64,0.02,0.29,0.09,0.08,0.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
15,0,0.467,0.88,1,0.35,0.00,0.00,0.00,0.11,1.13,0.00,0.33,0.22,0.74,0.06,0.57,0.00,0.27,0.09,0.16,0.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
16,0,0.501,0.88,1,0.39,0.00,0.00,0.00,0.08,0.93,0.00,0.34,0.13,0.57,0.06,0.56,0.00,0.24,0.12,0.27,0.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
17,0,0.534,0.88,1,0.21,0.00,0.00,0.00,0.00,0.52,0.00,0.50,0.04,0.32,0.16,0.37,0.09,0.14,0.04,0.38,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
18,0,0.567,0.88,1,0.33,0.00,0.00,0.00,0.00,0.58,0.00,0.60,0.01,0.37,0.13,0.43,0.09,0.07,0.04,0.57,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
19,0,0.601,0.88,1,0.35,0.00,0.00,0.00,0.00,0.49,0.00,0.67,0.00,0.37,0.20,0.55,0.27,0.04,0.00,0.76,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20,0,0.634,0.88,1,0.49,0.02,0.00,0.00,0.00,0.48,0.00,0.53,0.00,0.26,0.21,0.63,0.22,0.01,0.08,0.83,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
21,0,0.667,0.88,1,0.41,0.04,0.00,0.00,0.06,0.34,0.00,0.48,0.02,0.26,0.21,0.60,0.22,0.00,0.30,0.81,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
22,0,0.701,0.88,1,0.27,0.04,0.00,0.00,0.16,0.38,0.00,0.44,0.08,0.13,0.19,0.45,0.06,0.00,0.53,0.69,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
23,0,0.734,0.88,1,0.12,0.02,0.00,0.00,0.16,0.32,0.00,0.47,0.08,0.16,0.21,0.38,0.07,0.00,0.63,0.61,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
24,0,0.767,0.88,1,0.06,0.00,0.00,0.00,0.13,0.47,0.00,0.51,0.13,0.22,0.23,0.38,0.07,0.00,0.57,0.60,0.04,1.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
25,0,0.801,0.88,1,0.20,0.00,0.00,0.00,0.07,0.56,0.00,0.49,0.15,0.36,0.29,0.39,0.05,0.00,0.64,0.56,0.09,1.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
26,0,0.834,0.93,1,0.36,0.00,0.00,0.00,0.07,0.59,0.00,0.53,0.18,0.31,0.22,0.49,0.02,0.00,0.94,0.52,0.11,1.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
27,0,0.868,0.93,1,0.41,0.00,0.00,0.00,0.04,0.72,0.00,0.43,0.16,0.26,0.24,0.48,0.05,0.00,1.14,0.43,0.10,1.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
28,0,0.901,0.88,1,0.23,0.00,0.00,0.00,0.04,0.76,0.00,0.36,0.15,0.28,0.13,0.51,0.15,0.00,1.17,0.42,0.11,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
29,0,0.934,0.88,1,0.07,0.00,0.00,0.00,0.13,0.71,0.00,0.21,0.25,0.60,0.07,0.43,0.26,0.00,0.97,0.46,0.37,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
30,0,0.968,0.88,1,0.00,0.00,0.00,0.09,0.25,0.38,0.00,0.11,0.32,0.83,0.00,0.37,0.49,0.00,0.81,0.43,0.56,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
31,0,1.001,0.88,1,0.00,0.00,0.00,0.09,0.33,0.42,0.00,0.03,0.32,0.99,0.00,0.28,0.57,0.00,0.76,0.28,0.66,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
32,0,1.034,0.88,1,0.00,0.00,0.00,0.14,0.33,0.79,0.00,0.00,0.29,0.97,0.00,0.29,0.59,0.00,0.79,0.19,0.39,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33,0,1.068,0.88,1,0.00,0.00,0.00,0.10,0.38,1.29,0.00,0.02,0.30,1.15,0.02,0.21,0.37,0.05,0.69,0.08,0.17,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
34,0,1.101,0.93,1,0.00,0.00,0.00,0.21,0.44,1.45,0.00,0.02,0.38,1.26,0.16,0.14,0.19,0.05,0.60,0.11,0.04,0.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
35,0,1.134,0.93,1,0.05,0.00,0.00,0.16,0.53,1.32,0.00,0.02,0.44,1.34,0.29,0.03,0.04,0.05,0.53,0.18,0.12,0.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
36,0,1.168,0.93,1,0.05,0.00,0.00,0.11,0.51,0.93,0.00,0.03,0.42,1.12,0.33,0.00,0.08,0.02,0.79,0.29,0.27,0.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
37,0,1.201,0.93,1,0.08,0.06,0.00,0.00,0.48,0.42,0.00,0.04,0.38,1.00,0.23,0.05,0.08,0.05,0.98,0.34,0.38,0.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
38,0,1.235,0.93,1,0.05,0.06,0.00,0.00,0.45,0.12,0.00,0.06,0.36,0.91,0.10,0.07,0.08,0.05,1.00,0.43,0.31,0.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
39,0,1.268,0.93,1,0.06,0.06,0.00,0.00,0.40,0.07,0.00,0.09,0.42,0.97,0.04,0.11,0.00,0.03,0.89,0.51,0.16,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
