File_Name,Emotion
Ses01F_impro07_M005,excited
Ses01M_impro03_M023,excited
Ses01M_impro07_F021,excited
Ses01M_impro07_F027,excited
Ses01F_script02_1_M016,excited
Ses01F_script02_1_F023,frustrated
Ses01M_script02_2_F006,frustrated
Ses01M_script03_1_F014,happy
Ses01M_script03_1_F004,happy
Ses01F_impro06_M015,neutral
Ses01F_script02_2_F026,neutral
Ses01F_impro06_M011,neutral
Ses01M_script02_2_M022,neutral
Ses01F_impro02_M009,sad
Ses01M_impro06_M015,sad
Ses01M_impro06_M014,sad
Ses01F_impro02_F014,sad
Ses01M_impro06_M016,sad
Ses01M_script02_2_F039,surprised
Ses01M_impro03_F001,surprised
Ses01M_script02_2_F038,surprised
Ses01M_impro02_F002,surprised
Ses01M_script02_1_F002,surprised
